388.12;11.010;819.12;64400;64100;63800;ПЯТИГОРСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
110.40;10.998;807.25;63400;63100;62800;ПИТЕР_ФОРНОСОВО;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
192.53;10.916;801.24;63400;63100;62800;ПЕНЗА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
249.55;10.588;777.20;63400;63100;62800;ОРЕЛ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
31.86;10.390;741.82;64400;64100;63800;НОВОЧЕРКАССК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
99.36;10.577;776.34;63400;63100;62800;НИЖНИЙ ОКСКАЯ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
350.33;10.776;758.61;65400;65100;64800;НАЛЬЧИК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
372.02;10.500;739.17;65400;65100;64800;МАХАЧКАЛА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
675.51;10.545;774.02;63400;63100;62800;ЛОБНЯ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
489.49;10.858;796.95;63400;63100;62800;ЛИПЕЦК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
547.77;10.881;766.02;63400;63100;62800;КУРСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
59.24;10.729;680.21;63400;63100;62800;КИРОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
281.71;10.729;787.50;63400;63100;62800;КАЛУГА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
370.38;10.542;773.76;63400;63100;62800;КАЗАНЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
198.87;10.390;684.67;63400;63100;62800;ИЖЕВСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
372.21;10.717;786.64;63400;63100;62800;ВОРОНЕЖ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
278.64;10.799;684.66;63400;63100;62800;ВОЛОГДА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
334.49;10.822;761.90;63400;63100;62800;ВОЛГОГРАД;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
554.41;10.752;789.22;63400;63100;62800;ВЛАДИМИР;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
180.83;10.846;796.09;63400;63100;62800;БРЯНСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
846.12;11.256;848.70;65400;65100;64800;ВЛАДИКАВКАЗ;Арматура А500С;12мм.;(12м);ГОСТ 34028-2016;Арматура;12;
0.01;10.390;638.96;51500;51500;51500;ТИТАРОВКА;Арматура А500С;12мм.;(11,7м);ММЗ ГОСТ 34028-2016;Арматура;11.7;
527.10;10.659;750.37;63400;63100;62800;ЯРОСЛАВЛЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
172.77;10.495;770.33;63400;63100;62800;ЧЕХОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
66.53;10.296;724.84;63400;63100;62800;ЧЕРЕПОВЕЦ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
257.20;10.682;677.25;63400;63100;62800;ЧЕЛНЫ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
64.80;10.764;757.79;63400;63100;62800;ЧЕБОКСАРЫ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
111.84;10.881;766.02;63400;63100;62800;УФА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
307.80;10.670;783.21;63400;63100;62800;УЛЬЯНОВСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
663.94;10.869;852.15;63400;63100;62800;УГЛИ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
125.42;10.846;796.09;63400;63100;62800;ТУЛА_ПЛЕХАНОВО;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
351.88;10.390;772.99;64400;64100;63800;ТИТАРОВКА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
576.12;10.565;743.78;63400;63100;62800;ТВЕРЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
36.21;10.530;741.31;63400;63100;62800;СЫЗРАНЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
272.56;10.717;733.06;63400;63100;62800;СТАРЫЙ ОСКОЛ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
341.25;11.068;823.47;64400;64100;63800;СТАВРОПОЛЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
183.78;10.963;804.66;63400;63100;62800;САРАТОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.75;
163.07;10.881;798.67;63400;63100;62800;САРАНСК;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
89.69;10.764;790.08;63400;63100;62800;САМАРА;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
69.87;10.413;764.31;63400;63100;62800;РЯЗАНЬ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
241.54;10.390;824.93;64400;64100;63800;РОСТОВ;Арматура А500С;12мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
81.85;23.260;1623.52;62800;62500;62200;БЕЛГОРОД_КРЕЙДА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.02;9.243;614.66;56500;56500;56500;ПЕНЗА;Арматура А500С;16мм.;(5,85м);ГОСТ 34028-2016;Арматура;5.85;
26.88;18.840;1333.87;63800;63500;63200;ПЯТИГОРСК;Арматура А500С;16мм.;(12м);ГОСТ 34028-2016;Арматура;12;
86.93;19.500;1341.60;64800;64500;64200;НАЛЬЧИК;Арматура А500С;16мм.;(12м);ГОСТ 34028-2016;Арматура;12;
271.29;19.572;1405.27;64800;64500;64200;ВЛАДИКАВКАЗ;Арматура А500С;16мм.;(12м);ГОСТ 34028-2016;Арматура;12;
0.22;19.001;788.53;36500;36500;36500;ЧЕРЕПОВЕЦ;Арматура А500С;16мм.;(11,7м);ММЗ ГОСТ 34028-2016;Арматура;11.7;
0.04;18.486;1007.49;44500;44500;44500;РОСТОВ;Арматура А500С;16мм.;(11,7м);ММЗ ГОСТ 34028-2016;Арматура;11.7;
172.31;18.677;1266.28;62800;62500;62200;ЯРОСЛАВЛЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
59.21;18.900;1319.23;62800;62500;62200;ЧЕХОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
8.11;18.685;1266.84;62800;62500;62200;ЧЕРЕПОВЕЦ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.90;18.802;1274.77;62800;62500;62200;ЧЕБОКСАРЫ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
40.35;18.802;1274.77;62800;62500;62200;УФА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
71.43;18.837;1314.82;62800;62500;62200;УЛЬЯНОВСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
280.08;18.954;1379.85;62800;62500;62200;УГЛИ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
58.43;18.884;1318.09;62800;62500;62200;ТУЛА_ПЛЕХАНОВО;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
162.05;18.486;1308.81;63800;63500;63200;ТИТАРОВКА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
118.25;18.802;1274.77;62800;62500;62200;ТВЕРЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.32;18.603;1261.28;62800;62500;62200;СЫЗРАНЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
91.59;18.931;1264.56;62800;62500;62200;СТАРЫЙ ОСКОЛ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
181.93;18.884;1336.97;63800;63500;63200;СТАВРОПОЛЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.25;23.400;1633.32;62800;62500;62200;САРАНСК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.02;23.751;1657.82;62800;62500;62200;САМАРА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
6.36;23.400;1633.32;62800;62500;62200;РЯЗАНЬ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
33.03;23.400;1726.92;63800;63500;63200;РОСТОВ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.02;23.400;1633.32;62800;62500;62200;ПИТЕР_ФОРНОСОВО;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
17.89;23.400;1633.32;62800;62500;62200;ПЕНЗА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
46.01;23.751;1657.82;62800;62500;62200;ОРЕЛ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
4.12;23.400;1633.32;62800;62500;62200;НИЖНИЙ ОКСКАЯ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
30.35;24.336;1674.32;64800;64500;64200;НАЛЬЧИК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
205.91;23.774;1635.68;64800;64500;64200;МАХАЧКАЛА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
93.54;24.172;1687.22;62800;62500;62200;ЛОБНЯ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
131.32;23.517;1641.49;62800;62500;62200;ЛИПЕЦК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
43.25;23.821;1615.08;62800;62500;62200;КУРСК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
